
2,000	O
fetuses	O
found	O
hidden	O
at	O
Thai	LOCATION
Buddhist	LOCATION
temple	LOCATION
http://FakeURL	O
via	O
@FakeUsername	O


870	O
,	O
000	O
people	O
in	O
canada	LOCATION
depend	O
on	O
#FakeHashtag	O
-25%	O
increase	O
in	O
the	O
last	O
2	O
years	O
-	O
please	O
give	O
generously	O


7961212234	O
,	O
phone	O
this	O
girl	O
!	O
she	O
is	O
like	O
louis	PERSON
biggest	O
fan	O
!	O
<	O
3	O
@FakeUsername	O
live	O
on	O
http://FakeURL	O
)	O


@FakeUsername	O
:	O
WikiLeaks	ORGANIZATION
Set	O
To	O
Reveal	O
US-UFO	O
War	O
In	O
Southern	LOCATION
Ocean	LOCATION
:	O
http://FakeURL	O
)	O
I'm	O
a	O
huge	O
fan	O
of	O
@FakeUsername	O
bt	O
this	O
is	O
wrong	O


@FakeUsername	O
queen	ORGANIZATION
,	O
bohemian	O
rhapsody	O
please	O


cheryl	PERSON
cole	PERSON
is	O
starting	O
to	O
lose	O
that	O
connection	O
with	O
me	O
!	O
But	O
Danni	PERSON
has	O
maintained	O
the	O
steady	O
eddie	PERSON
feel	O
to	O
me	O
!!?	O
What	O
you	O
think	O
?	O


Lester	ORGANIZATION
,	O
''	O
Mason	B-MISC
&	I-MISC
Begg	I-MISC
Limited	I-MISC
:	O
''	O
''	O
`Forbidden	O
Fruit	O
'	O
calls	O
on	O
all	O
of	O
us	O
to	O
examine	O
the	O
long	O
history	O
of	O
censoring	O
ideas	O
''	O
''	O
http://FakeURL	O
''	O


To	O
be	O
successful	O
,	O
you	O
have	O
to	O
have	O
your	O
heart	O
in	O
your	O
business	O
,	O
and	O
your	O
business	O
in	O
your	O
heart	O
.	O
Thomas	PERSON
Watson	PERSON
,	O
Sr.	O


Sanchez	PERSON
looks	O
like	O
Eli	PERSON
Wallach	PERSON
in	O
The	B-MISC
Good	I-MISC
,	I-MISC
The	I-MISC
Bad	I-MISC
and	I-MISC
the	I-MISC
Ugly	I-MISC
with	O
that	O
facial	O
scruff	O
.	O


@FakeUsername	O
the	O
history	O
of	O
the	O
mayor	O
,	O
the	O
city	O
.	O


`Entertainment	O
Tonight	I-MISC
'	O
creator	O
dies	O
at	O
80	O
-	O
Yahoo	ORGANIZATION
!	ORGANIZATION
News	ORGANIZATION
http://FakeURL	O


`The	O
truth	O
will	O
always	O
win	O
'	O
-	O
Julian	PERSON
Assange	PERSON
writes	O
#FakeHashtag	O


@FakeUsername	O
:	O
The	B-MISC
Day	I-MISC
After	I-MISC
in	O
#FakeHashtag	O
#FakeHashtag	O
(	O
Broadway	LOCATION
&	LOCATION
4th	LOCATION
Street	LOCATION
)	O
http://FakeURL	O
(	O
via	O
@FakeUsername	O
)	O
''	O


@FakeUsername	O
:	O
No	O
equal	O
pay	O
for	O
women	O
,	O
no	O
unemployment	O
benefits	O
,	O
no	O
repeal	O
of	O
DADT	O
,	O
No	O
,	O
No	O
,	O
No	O
SS	O
,	O
no	O
medicare	O
#FakeHashtag	O
''	O


@FakeUsername	O
:	O
The	O
beautiful	O
empty	O
streets	O
of	O
Beirut	LOCATION
\*	O
sigh	O
\*	O
''	O
(=	O
=	O
panoramic	O
view	O
;)	O
